,TreeName,count,months,colour,prominence
0,Others,170505,,,
1,Pongamia Pinnata (L.) Pierre,128831,4-12,#bea3d0,low
2,Swietenia Mahagoni (L.) Jacq.,34842,3-4,#bab02e,low
3,Tabebuia Rosea (Bertol) Dc.,27689,2-3,#e8c9d6,high
4,Saraca Asoca (Roxb.) De Wilde,19007,2-3,#d04734,med
5,Ptychosperma Macarthuri Nichols,17863,,,
6,Markhamia Lutea (Benth.) K.Schum,14383,1-12,#ddc324,med
7,Terminalia Catappa L,13824,,,
8,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,12592,3-5;9-11,#f7e400,high
9,Samanea Saman (Jacq.) Merr.,11931,,,
10,Spathodea Campanulata P. Beauv,11920,,,
11,Syzygium Cumini (L.) Skeels,10061,3-4,,
12,Cocos Nucifera L.,9769,,,
13,Grevillea Robusta Cunn. Ex R. Br.,9728,2-3,#e95c1e,med
14,Roystonea Regia (H.B.K) O. F. Cook,9509,,,
15,Azadirachta Indica A. Juss.,8164,,,
16,Mangifera Indica L.,8047,,,
17,Thespesia Populnea,7624,1-12,#f2ec8f,low
18,Delonix Regia (Bojer Ex Hook.) Raf.,6233,4-7,#f64124,high
19,Wrightia Tinctoria (Roxb.) R. Br,6026,,,
20,Millingtonia Hortensis L.F,5965,9-10,#f6f5fa,med
21,Muntingia Calabura L.,5755,,,
22,Acacia Auriculiformis Cunn. Ex Benth,5527,1-1;12-12,#f7d71c,med
23,Eucalyptus Tereticornis Sm.,5344,,,
24,Tectona Grandis L.F,5257,,,
25,Ficus Benghalensis L.,5029,,,
26,Ficus Religiosa L.,4813,,,
27,Michelia Longifolia Blume,4799,,,
28,Ficus Racemosa L.,4623,,,
29,Artocarpus Heterophyllus Lam.,4278,,,
30,Ficus Benjamina L.,3784,,,
31,Lagerstroemia Speciosa (L.) Pers,3749,4-5,#fdc9fd,med
32,Hydristele Wendlandiana (C. Moore & F. Muell.) H. Wendl. & Drude,3611,,,
33,Leucaena Latisiliqua (L.) Gillis,3577,,,
34,Michelia Champaca L,3516,,,
35,Caryota Mitis Lour.,2865,,,
36,Jacaranda Acutifolia Humb. & Bonp,2811,3-5,#b594c9,high
37,Mimusops Elengi L.,2653,,,
38,Bauhinia Variegata L.,2531,,,
39,Livistona Chinensis (Jacq.) R. Br. Ex Mart.,2509,,,
40,Majidea Zanguebarica Oliv.,2204,,,
41,Bauhinia Racemosa Lam,2032,,,
42,Bauhinia Purpurea L.,2005,,,
43,Terminalia Arjuna (Roxb. Ex Dc.) Wight & Arn.,1938,,,
44,Acacia Nilotica (L.) Del. Subsp. Indica (Benth.) Brenan,1746,,,
45,Averrhoa Carambola L.,1438,,,
46,Simarouba Glauca Dc.,1432,,,
47,Neolomarckia,1295,,,
48,Plumeria Rubra L. Forma Tricolor,1250,3-5;7-10,#fd6e75,high
49,Pterocarpus Marsupium Roxb,1163,,,
50,Manilkara Zapota (L.) P. Royen,1153,,,
51,Psidium Guajava L.,1046,,,
52,Tabebuia Chrysotricha (Mart. Ex Dc.) Standl,1045,,,
53,Thespesia Populnea (L.) Sol. Ex Corr. Serr,1021,,,
54,Techoma Stans,1020,,,
55,Khaya Senegalensis (Desr.) A. Juss.,985,,,
56,Polyalthia Longifolia (Sonn.) Thwaites,960,,,
57,Araucaria Columnaris,941,,,
58,Gmelina Arborea Roxb.,928,,,
59,Bauhinia Variegata L. Var. Candida Voigt.,896,,,
60,Annona Squamosa L,860,,,
61,Toona Ciliata M. Roeme,786,,,
62,Phoenix Sylvestris (L.) Roxb.,777,,,
63,Madhuca Indica J. Gmelin,759,,,
64,Emblica Officinalis Gaertn.,759,,,
65,Prosopis Juliflora (Sw.) Dc.,747,,,
66,Tabebuia Aurea (Manso) Benth. & Hook.F. Ex S. Moore,728,1-3,#f9df2a,high
67,Callistemon Viminalis (Soland. Ex Gaertn.) G. Don,711,,,
68,Kigelia Africana (Lam.) Benth,696,,,
69,Enterolobium Contortisiliqum (Vell.),645,,,
70,Ceiba Speciosa (A. St. Hil.) Ravenna,603,,,
71,Sesbania Grandiflora (L.) Poiret,599,,,
72,Phyllanthus Polyphykkus Wild,586,,,
73,Phyllanthus Acidus (L.) Skeels,569,,,
74,Cassia Roxburghii Dc.,546,,,
75,Couroupita Guianensis Abul.,542,1-12,#ad242e,med
76,Tamarindus Indica L.,533,,,
77,Talauma Mutabilis Bl.,533,,,
78,Broussonetia Papyrifera Vent,530,,,
79,Pritchardia Pacifica Seem. & H. Wendl.,530,,,
80,Garcinia Indica (Thouars) Choisy,526,,,
81,Albizia Lebbeck (L.) Benth.,504,,,
82,Pithecellobium Dulce (Roxb.) Benth.,480,,,
83,Cassia Moschata Kunth,475,,,
84,Melia Dubia Cav,473,,,
85,Alstonia Macrophylla Wall. Ex Dc.,471,,,
86,Calamus Prasinus Lak. & Renuka,467,,,
87,Cassia Javanica L.,461,,,
88,Syagrus Romanzoffianum (Cham),452,,,
89,Santalum Album L,418,,,
90,Thevetia Peruviana (Pers.) Merr.,403,,,
91,Eugenia Uniflora L,398,,,
92,Parkia Biglandulosa Wt. & Arn.,396,,,
93,Syzygium Laetum (Buch. -Ham.),386,,,
94,Plumaria alba,385,,,
95,Erythrina Umbrosa Kunth,377,,,
96,Moringa Oleifera Lam.,366,,,
97,Caesalpinia Ferrea Mart. Ex Tul.,351,,,
98,Ailanthus Triphysa (Dennst.) Alston,351,,,
99,Tabebuia Impetiginosa (Mart. Ex Dc.) Standl.,343,2-3,#eb92d0,high
100,Cassia Fistula L.,333,,,
101,Peltophorum Africanum Sond.,332,,,
102,Melaleuca Bracteate F. Muell.,326,,,
103,Bauhinia Galpinii N.E. Br.,312,,,
104,Filicium Decipiens (Wt. & Arn.),311,,,
105,Swietenia Macrophylla King,308,,,
106,Acacia Leucophloea (Roxb.) Wild,301,,,
107,Clusia Rosea Jacq.,291,,,
108,Tabernaemontana Divericata L. R. Br. Ex Roem. & Schult.,282,,,
109,Gliricidia Sepium,279,11-12,#deb3cf,med
110,Syzygium Nervosum Dc,278,,,
111,Cassia Grandis L.F,273,,,
112,Ziziphus Mauritiana Lam,273,,,
113,Calophyllum Inophyllum L,259,,,
114,Rhapis Excelsa Henry,250,,,
115,Plumeri Obtusa L. Var. Obtusa,245,,,
116,Cassia Fistula,243,,,
117,Persea Americana Mille,241,,,
118,Brassaia Actinophylla Endl. Var. Capitata Clarke,240,,,
119,Ochroma Lagopus Sw,225,,,
120,Malpighia Glabra L.,223,,,
121,Erythroxylum Monogynum Roxb.,218,,,
122,Flacouratia Inermis Roxb.,212,,,
123,Caryota Urens L,206,,,
124,Artocarpus Hirsutus Lam.,205,,,
125,Murraya Koenigii (L.) Spreng.,200,,,
126,Plumeria Rubra L. Forma Acutifolia,198,,,
127,Dypsis Lutescens (Wendl.) Beentze & Dransfield,190,,,
128,Tipuana Tipu (Benth.) Kuntze,187,,,
129,Bauhinia Blakeana Dunn,186,,,
130,Phoenix Rupicola T. Anders,182,,,
131,Anacardium Occidentale L.,178,,,
132,Bombax Malabaricum Dc,176,1-2,#c41d30,high
133,Butea Monosperma (Lam.) Taub,172,,,
134,Spondias Pinnata (L.F.) Kurz,161,,,
135,Annona Reticulata L.,157,,,
136,Crescentia Cujete L.,154,,,
137,Broussonetia Luzonica Bureau,139,,,
138,Vitex Altissima L.F,138,,,
139,Artocarpus Altitilis (Park.) Fosb.,134,,,
140,Aegle Marmelos (L.) Corr. Serr.,133,,,
141,Cordia Wallichii G. Don,132,,,
142,Joannesia Princeps Vell,126,,,
143,Pseudobombax Ellipticum (H.B.K.) Dug,123,,,
144,Erythina Standleyana Krukoff,119,,,
145,Magnolia Grandiflora L,115,,,
